Species,trait,value,source,notes
Cutaneotrichosporon cavernicola,animal_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (guild ""|Animal Parasite|-Animal Pathogen-Undefined Saprotroph"")"
Cystobasidium minutum,cell_morphology,dimorphic,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (growthForm ""Dimorphic-Facultative Yeast"")"
Cystobasidium minutum,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (trophicMode ""Pathotroph"")"
Cystobasidium minutum,fungal_association,mycoparasite,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (guild ""|Fungal Parasite|"")"
Dacryopinax primogenitus,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Clavarioid"")"
Dacryopinax primogenitus,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph"")"
Dacryopinax primogenitus,plant_association,saprotroph_plant_material,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""|Wood Saprotroph|"")"
Dactylellina haptotyla,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Dactylellina haptotyla,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Dactylellina haptotyla,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Dactylellina haptotyla,animal_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""|Animal Parasite|-Undefined Saprotroph-Wood Saprotroph"")"
Dactylellina haptotyla,plant_association,saprotroph_plant_material,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""|Animal Parasite|-Undefined Saprotroph-Wood Saprotroph"")"
Daldinia caldariorum,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Daldinia caldariorum,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph-Symbiotroph"")"
Daldinia caldariorum,trophic_mode,symbiotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph-Symbiotroph"")"
Daldinia caldariorum,plant_association,saprotroph_plant_material,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Endophyte-Undefined Saprotroph-|Wood Saprotroph|"")"
Daldinia caldariorum,plant_association,endophyte,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Endophyte-Undefined Saprotroph-|Wood Saprotroph|"")"
Desarmillaria tabescens,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Agaricoid"")"
Desarmillaria tabescens,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Desarmillaria tabescens,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Desarmillaria tabescens,plant_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Bryophyte Parasite-|Plant Pathogen|-Wood Saprotroph"")"
Desarmillaria tabescens,plant_association,saprotroph_plant_material,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Bryophyte Parasite-|Plant Pathogen|-Wood Saprotroph"")"
Diaporthe amygdali,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (growthForm ""Microfungus"")"
Diaporthe amygdali,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (trophicMode ""Pathotroph-Saprotroph-Symbiotroph"")"
Diaporthe amygdali,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (trophicMode ""Pathotroph-Saprotroph-Symbiotroph"")"
Diaporthe amygdali,trophic_mode,symbiotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (trophicMode ""Pathotroph-Saprotroph-Symbiotroph"")"
Diaporthe amygdali,plant_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (guild ""Endophyte-|Plant Pathogen|-Plant Saprotroph"")"
Diaporthe amygdali,plant_association,saprotroph_plant_material,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (guild ""Endophyte-|Plant Pathogen|-Plant Saprotroph"")"
Diaporthe amygdali,plant_association,endophyte,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (guild ""Endophyte-|Plant Pathogen|-Plant Saprotroph"")"
Dichomitus squalens,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (growthForm ""Corticioid-Polyporoid"")"
Dichomitus squalens,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (trophicMode ""Saprotroph"")"
Dichomitus squalens,plant_association,saprotroph_plant_material,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (guild ""|Wood Saprotroph|"")"
Dichotomopilus funicola,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (growthForm ""Microfungus"")"
Dichotomopilus funicola,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (trophicMode ""Saprotroph"")"
Didymella exigua,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Didymella exigua,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Didymella exigua,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Didymella exigua,animal_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Animal Pathogen-|Plant Pathogen|-Plant Saprotroph-Undefined Saprotroph"")"
Didymella exigua,plant_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Animal Pathogen-|Plant Pathogen|-Plant Saprotroph-Undefined Saprotroph"")"
Didymella exigua,plant_association,saprotroph_plant_material,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Animal Pathogen-|Plant Pathogen|-Plant Saprotroph-Undefined Saprotroph"")"
Didymosphaeria variabile,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Didymosphaeria variabile,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph-Symbiotroph"")"
Didymosphaeria variabile,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph-Symbiotroph"")"
Didymosphaeria variabile,trophic_mode,symbiotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph-Symbiotroph"")"
Didymosphaeria variabile,plant_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Endophyte-Fungal Parasite-Lichen Parasite-|Plant Pathogen|-Plant Saprotroph-Undefined Saprotroph"")"
Didymosphaeria variabile,plant_association,saprotroph_plant_material,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Endophyte-Fungal Parasite-Lichen Parasite-|Plant Pathogen|-Plant Saprotroph-Undefined Saprotroph"")"
Didymosphaeria variabile,plant_association,endophyte,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Endophyte-Fungal Parasite-Lichen Parasite-|Plant Pathogen|-Plant Saprotroph-Undefined Saprotroph"")"
Didymosphaeria variabile,fungal_association,mycoparasite,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Endophyte-Fungal Parasite-Lichen Parasite-|Plant Pathogen|-Plant Saprotroph-Undefined Saprotroph"")"
Didymosphaeria variabile,fungal_association,mycoparasite,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Endophyte-Fungal Parasite-Lichen Parasite-|Plant Pathogen|-Plant Saprotroph-Undefined Saprotroph""); lichen parasite mapped to mycoparasite"
Dioszegia hungarica,cell_morphology,yeast,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Yeast"")"
Dioszegia hungarica,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph"")"
Dioszegia hungarica,plant_association,saprotroph_plant_material,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""|Plant Saprotroph|-Undefined Saprotroph"")"
Diplodia corticola,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (growthForm ""Microfungus"")"
Diplodia corticola,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (trophicMode ""Pathotroph-Saprotroph-Symbiotroph"")"
Diplodia corticola,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (trophicMode ""Pathotroph-Saprotroph-Symbiotroph"")"
Diplodia corticola,trophic_mode,symbiotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (trophicMode ""Pathotroph-Saprotroph-Symbiotroph"")"
Diplodia corticola,plant_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (guild ""Epiphyte-|Plant Pathogen|-Plant Saprotroph-Wood Saprotroph"")"
Diplodia corticola,plant_association,saprotroph_plant_material,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (guild ""Epiphyte-|Plant Pathogen|-Plant Saprotroph-Wood Saprotroph"")"
Dissoconium aciculare,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Dissoconium aciculare,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Dissoconium aciculare,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Dissoconium aciculare,plant_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Plant Pathogen-|Plant Saprotroph|-Undefined Saprotroph"")"
Dissoconium aciculare,plant_association,saprotroph_plant_material,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Plant Pathogen-|Plant Saprotroph|-Undefined Saprotroph"")"
Diutina rugosa,cell_morphology,yeast,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Yeast"")"
Diutina rugosa,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph"")"
Dothidotthia symphoricarpi,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Dothidotthia symphoricarpi,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph-Symbiotroph"")"
Dothidotthia symphoricarpi,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph-Symbiotroph"")"
Dothidotthia symphoricarpi,trophic_mode,symbiotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph-Symbiotroph"")"
Dothidotthia symphoricarpi,plant_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Endophyte-|Plant Pathogen|-Wood Saprotroph"")"
Dothidotthia symphoricarpi,plant_association,saprotroph_plant_material,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Endophyte-|Plant Pathogen|-Wood Saprotroph"")"
Dothidotthia symphoricarpi,plant_association,endophyte,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Endophyte-|Plant Pathogen|-Wood Saprotroph"")"
Drechmeria coniospora,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Drechmeria coniospora,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph-Symbiotroph"")"
Drechmeria coniospora,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph-Symbiotroph"")"
Drechmeria coniospora,trophic_mode,symbiotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph-Symbiotroph"")"
Drechmeria coniospora,animal_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""|Animal Parasite|-Endophyte-Undefined Saprotroph"")"
Drechmeria coniospora,plant_association,endophyte,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""|Animal Parasite|-Endophyte-Undefined Saprotroph"")"
Drepanopeziza brunnea,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Drepanopeziza brunnea,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph"")"
Drepanopeziza brunnea,plant_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""|Plant Pathogen|"")"
Durotheca rogersii,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Durotheca rogersii,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph"")"
Durotheca rogersii,plant_association,saprotroph_plant_material,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Undefined Saprotroph-|Wood Saprotroph|"")"
Emericellopsis atlantica,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Emericellopsis atlantica,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph"")"
Encephalitozoon cuniculi,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Encephalitozoon cuniculi,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph"")"
Encephalitozoon cuniculi,animal_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""|Animal Parasite|"")"
Endocarpon pusillum,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (growthForm ""Microfungus-Thallus"")"
